date,c_top10,earnings_yield,ust10y,vlcc_empty,freight_index,insurance_premium,equity_growth_implied,bond_inflation_implied,mag7_return,sp500_return,completion_dispersion,phi_freight,phi_ins,phi_vlcc,Phi,disp_norm,ins_norm,Theta,dPhi,dTheta,Va,Va_smooth,TPI,FPI,Regimen
1999-01-31,0.22,0.055,0.045,8.678954006200719,94.71238968167089,0.7912154659368039,0.035,0.02,0.01,0.006,0.2,0.17299549837546987,0.1303534928457393,0.10540201485543564,0.1411724255600556,0.0,0.1303534928457393,0.9478586028617043,,,,,,0.02608577644604504,Absorción
1999-02-28,0.2203975535168195,0.0549785932721712,0.0449938837920489,8.606827089216708,95.1553380734836,0.7261900238028709,0.0350305810397553,0.02,0.01,0.006,0.2,0.17731276965455292,0.11839342482665167,0.10434054950358862,0.1384479439270464,0.0,0.11839342482665167,0.95,,,,,,0.0009819747846776454,Absorción
1999-03-31,0.2207951070336391,0.0549571865443425,0.0449877675840978,10.008271504702597,115.91613720704711,0.7640291141653875,0.0350611620795107,0.02,0.01,0.006,0.2,0.37966140323541825,0.1253531328988239,0.12496509234807962,0.22697943089577557,0.0,0.1253531328988239,0.9498587468404704,,,,,,0.5466411618191527,Absorción
1999-04-30,0.2211926605504587,0.0549357798165137,0.0449816513761467,13.738275556194848,100.42131853574008,1.3091611564468233,0.035091743119266,0.02,0.01,0.006,0.2,0.22863853722958136,0.22561875341765467,0.17985819229557556,0.21538652666190555,0.0,0.22561875341765467,0.9097524986329382,0.07421410110184995,-0.03810610422876615,1.9475646383664174,1.9475646383664174,0.20614602528660947,0.6834199934099834,Absorción
1999-05-31,0.2215902140672783,0.054914373088685,0.0449755351681957,6.491155543782041,103.68389736521742,1.6223135222206593,0.0351223241590214,0.02,0.01,0.006,0.2,0.26043781257767246,0.2832165716267033,0.0732049882558317,0.22160217216437306,0.0,0.2832165716267033,0.8867133713493187,0.08315422823732666,-0.06328662865068124,1.3139304464503427,1.63074754240838,0.1816810713176532,1.0823232062622632,Absorción
1999-06-30,0.2219877675840978,0.0548929663608562,0.0449694189602446,7.691793773399877,99.47088462129108,0.5986072321278568,0.0351529051987767,0.02,0.01,0.006,0.2,0.2193749726307239,0.09492724272280137,0.0908743402000553,0.14369310905528387,0.0,0.09492724272280137,0.95,-0.0832863218404917,0.00014125315952950857,,1.63074754240838,0.08330309811490536,0.11440812980580495,Absorción
1999-07-31,0.2223853211009174,0.0548715596330275,0.0449633027522935,10.891497204377846,102.83957670721396,0.7787609435397588,0.0351834862385321,0.02,0.01,0.006,0.2,0.25220849874673756,0.12806274433061035,0.13796320064479153,0.18019616017560652,0.0,0.12806274433061035,0.9487749022677558,-0.03519036648629903,0.03902240363481768,0.9017990489673599,1.1078647477088512,0.08505863860004793,0.21657922151463968,Absorción
1999-08-31,0.222782874617737,0.0548501529051987,0.0449571865443425,7.470453342673809,95.79679336482812,0.9954332112501968,0.0352140672782874,0.02,0.01,0.006,0.2,0.18356482194173765,0.16791506943021148,0.08761695435850185,0.15410044166689452,0.0,0.16791506943021148,0.9328339722279154,-0.06750173049747854,0.04612060087859671,1.4635917401675533,1.1826953945674568,0.0685187800266401,0.24814496185381776,Absorción
1999-09-30,0.2231804281345565,0.05482874617737,0.0449510703363914,8.212638263851469,92.3938478482232,1.8636161169401797,0.0352446483180428,0.02,0.01,0.006,0.2,0.15039743898093808,0.32759912945819797,0.09853941730902616,0.19945352523000104,0.0,0.32759912945819797,0.8689603482167207,0.055760416174717164,-0.08103965178327921,0.6880633732710847,1.0178180541353326,0.09381557959150107,1.0984864274494208,Absorción
1999-10-31,0.2235779816513761,0.0548073394495412,0.0449449541284403,5.751557878725967,98.22610230355347,0.7127276959321123,0.0352752293577981,0.02,0.01,0.006,0.2,0.2072424916274942,0.11591731160472389,0.06232060100359388,0.1390482059635495,0.0,0.11591731160472389,0.95,-0.041147954212057025,0.001225097732244107,,1.075827556719319,0.05180003962118374,0.0816913300736839,Absorción
1999-11-30,0.2239755351681957,0.0547859327217125,0.0449388379204893,9.042696871654922,98.448279645492,0.919887665574531,0.0353058103975535,0.02,0.01,0.006,0.2,0.20940798059854285,0.15402004872494582,0.11075508503791387,0.16535898055262663,0.0,0.15402004872494582,0.9383919805100217,0.011258538885732111,0.005558008282106286,-2.0256426968593018,-0.6687896617941085,-0.0439895269911716,0.24228882644758104,Absorción
1999-12-31,0.2243730886850153,0.0547645259938837,0.0449327217125382,7.867610989766774,92.85933995834566,1.4697409763254308,0.0353363914373088,0.02,0.01,0.006,0.2,0.15493443641634386,0.255154047684247,0.09346177761226333,0.17464313565908982,0.0,0.255154047684247,0.8979383809263012,-0.024810389570911223,0.028978032709580437,0.8561792244339849,-0.5847317362126585,-0.04243450381156757,0.7046112868346719,Absorción
2000-01-31,0.2247706422018348,0.054743119266055,0.0449266055045871,10.086922035594815,100.6856459940615,0.9603275800066442,0.0353669724770642,0.02,0.01,0.006,0.2,0.23121484942571313,0.16145812390631795,0.12612256333030628,0.18052692397007308,0.0,0.16145812390631795,0.9354167504374729,0.041478718006523585,-0.0145832495625271,2.8442712873203977,0.5582692716316936,0.04300401630314093,0.3415337750695885,Absorción
2000-02-29,0.2251681957186544,0.0547217125382263,0.044920489296636,10.12269603115239,90.4514756008024,1.1229658473676591,0.0353975535168195,0.02,0.01,0.006,0.2,0.13146577996133985,0.1913720264698382,0.12664903608651618,0.15122878027060838,0.0,0.1913720264698382,0.9234511894120647,-0.014130200282018252,-0.014940791097956985,-0.9457464594328225,0.9182346841071866,0.051426317640416386,0.35783615787690026,Absorción
2000-03-31,0.225565749235474,0.0547003058103975,0.044914373088685,9.884767017235417,107.02868620981933,1.2922520582161827,0.0354281345565749,0.02,0.01,0.006,0.2,0.2930383617168204,0.22250867898612134,0.12314752215756256,0.22588026287126126,0.0,0.22250867898612134,0.9109965284055515,0.05123712721217144,0.01305814747925027,-3.923766927398281,-0.675080699836902,-0.07784421256820367,0.8401733274528302,Absorción
2000-04-30,0.2259633027522936,0.0546788990825688,0.0449082568807339,12.227919123401966,127.7073611011608,0.7107491383913431,0.0354587155963302,0.02,0.01,0.006,0.2,0.49458655750670366,0.11555339738913828,0.15763083128547847,0.2776860199102495,0.0,0.11555339738913828,0.95,0.09715909594017641,0.0145832495625271,-6.662376277906878,-3.8439632215793273,-0.6427856578822746,0.8565516620273005,Absorción
2000-05-31,0.2263608562691131,0.05465749235474,0.0449021406727828,13.872450668617253,108.52210346980304,1.1141693694177603,0.0354892966360856,0.02,0.01,0.006,0.2,0.30759420515905284,0.18975409860719483,0.1818327981552456,0.23490981611495076,0.0,0.18975409860719483,0.924098360557122,0.08368103584434239,0.0006471711450573014,,-5.29307160265258,-0.6549672605612168,0.701342347740526,Absorción
2000-06-30,0.2267584097859327,0.0546360856269113,0.0448960244648318,10.386995298825385,100.4996751096267,0.988468192308848,0.0355198776758409,0.02,0.01,0.006,0.2,0.22940225280507673,0.16663400008936505,0.13053863135669275,0.18271745899248165,0.0,0.16663400008936505,0.933346399964254,-0.043162803878779604,0.022349871558702494,1.9312327484930472,-2.3655717647069157,-0.1862215504961597,0.3647864868165229,Absorción
2000-07-31,0.2271559633027522,0.0546146788990825,0.0448899082568807,11.160686042521576,125.116142228046,0.5841925403459791,0.0355504587155963,0.02,0.01,0.006,0.2,0.4693308053118829,0.09227596210820213,0.14192475392810833,0.255510097344651,0.0,0.09227596210820213,0.95,-0.02217592256559847,0.0,,1.9312327484930472,0.27800900572978854,0.7884462690394962,Absorción
